﻿﻿﻿﻿﻿﻿﻿﻿﻿시즌/대회,소속팀,닉네임,국적,포지션,등급
VCT 2026: Americas Stage 1,KRÜ Esports,mwzera,BR,INITIATOR,A
VCT 2026: Americas Stage 1,G2 Esports,valyn,US,CONTROLLER,B
VCT 2026: Americas Stage 1,100 Thieves,bang,US,CONTROLLER,B
VCT 2026: Americas Stage 1,LOUD,lukxo,BR,CONTROLLER,C
VCT 2026: Americas Stage 1,ENVY,Rossy,US,CONTROLLER,B
VCT 2026: Americas Stage 1,FURIA,artzin,BR,SENTINEL,B
VCT 2026: Americas Stage 1,G2 Esports,BABYBAY,US,SENTINEL,A
VCT 2026: Americas Stage 1,100 Thieves,Cryocells,US,SENTINEL,B
VCT 2026: Americas Stage 1,Leviatán,blowz,BR,INITIATOR,A
VCT 2026: Americas Stage 1,Leviatán,Sato,BR,DUELIST,A
VCT 2026: Americas Stage 1,Sentinels,Reduxx,US,DUELIST,B
VCT 2026: Americas Stage 1,Cloud9,OXY,US,DUELIST,A
VCT 2026: Americas Stage 1,Evil Geniuses,dgzin,BR,DUELIST,B
VCT 2026: Americas Stage 1,100 Thieves,Asuna,US,FLEX,A
VCT 2026: Americas Stage 1,Cloud9,Notexxd,BM,CONTROLLER,A
VCT 2026: Americas Stage 1,MIBR,zekken,US,DUELIST,B
VCT 2026: Americas Stage 1,MIBR,Verno,US,INITIATOR,C
VCT 2026: Americas Stage 1,Leviatán,kiNgg,CL,CONTROLLER,B
VCT 2026: Americas Stage 1,100 Thieves,Timotino,CA,DUELIST,B
VCT 2026: Americas Stage 1,G2 Esports,leaf,US,CONTROLLER,B
VCT 2026: Americas Stage 1,NRG,Ethan,US,INITIATOR,B
VCT 2026: Americas Stage 1,NRG,mada,CA,DUELIST,B
VCT 2026: Americas Stage 1,Cloud9,v1c,US,CONTROLLER,C
VCT 2026: Americas Stage 1,ENVY,Demon1,US,CONTROLLER,C
VCT 2026: Americas Stage 1,Evil Geniuses,Paincakes,US,INITIATOR,C
VCT 2026: Americas Stage 1,LOUD,Darker,CO,SENTINEL,B
VCT 2026: Americas Stage 1,ENVY,keznit,CL,DUELIST,B
VCT 2026: Americas Stage 1,LOUD,cauanzin,BR,INITIATOR,C
VCT 2026: Americas Stage 1,Evil Geniuses,zerona,US,DUELIST,B
VCT 2026: Americas Stage 1,FURIA,eeiu,CA,INITIATOR,C
VCT 2026: Americas Stage 1,Sentinels,johnqt,MA,CONTROLLER,D
VCT 2026: Americas Stage 1,Cloud9,penny,CA,SENTINEL,C
VCT 2026: Americas Stage 1,G2 Esports,jawgemo,KH,DUELIST,C
VCT 2026: Americas Stage 1,MIBR,Mazino,CL,CONTROLLER,C
VCT 2026: Americas Stage 1,Leviatán,spike,BR,DUELIST,A
VCT 2026: Americas Stage 1,100 Thieves,vora,CA,INITIATOR,C
VCT 2026: Americas Stage 1,FURIA,nerve,US,CONTROLLER,C
VCT 2026: Americas Stage 1,FURIA,alym,KG,DUELIST,C
VCT 2026: Americas Stage 1,Cloud9,Jackk,US,INITIATOR,C
VCT 2026: Americas Stage 1,NRG,skuba,US,CONTROLLER,C
VCT 2026: Americas Stage 1,ENVY,P0PPIN,US,INITIATOR,C
VCT 2026: Americas Stage 1,Evil Geniuses,supamen,US,CONTROLLER,C
VCT 2026: Americas Stage 1,Sentinels,JonahP,CA,INITIATOR,C
VCT 2026: Americas Stage 1,Cloud9,Xeppaa,US,INITIATOR,C
VCT 2026: Americas Stage 1,KRÜ Esports,silentzz,BR,SENTINEL,C
VCT 2026: Americas Stage 1,MIBR,tex,DE,SENTINEL,D
VCT 2026: Americas Stage 1,Evil Geniuses,bao,VN,SENTINEL,C
VCT 2026: Americas Stage 1,Evil Geniuses,Okeanos,VN,FLEX,D
VCT 2026: Americas Stage 1,FURIA,koalanoob,CA,DUELIST,C
VCT 2026: Americas Stage 1,Cloud9,Zellsis,US,SENTINEL,C
VCT 2026: Americas Stage 1,Sentinels,Jerrwin,IN,DUELIST,C
VCT 2026: Americas Stage 1,LOUD,Virtyy,DO,DUELIST,C
VCT 2026: Americas Stage 1,KRÜ Esports,Dantedeu5,AR,DUELIST,C
VCT 2026: Americas Stage 1,Evil Geniuses,C0M,US,INITIATOR,D
VCT 2026: Americas Stage 1,ENVY,Eggsterr,US,CONTROLLER,C
VCT 2026: Americas Stage 1,Sentinels,Victor,US,DUELIST,D
VCT 2026: Americas Stage 1,LOUD,Bati,PT,CONTROLLER,D
VCT 2026: EMEA Stage 1,NaVi,Ruxic,TR,CONTROLLER,A
VCT 2026: EMEA Stage 1,Team Vitality,Sayonara,MD,FLEX,A
VCT 2026: EMEA Stage 1,Gentle Mates,marteen,CZ,DUELIST,A
VCT 2026: EMEA Stage 1,Fnatic,kaajak,PL,DUELIST,A
VCT 2026: EMEA Stage 1,Fnatic,Alfajer,TR,SENTINEL,B
VCT 2026: EMEA Stage 1,NaVi,hiro,TR,INITIATOR,B
VCT 2026: EMEA Stage 1,Team Heretics,RieNs,TR,INITIATOR,A
VCT 2026: EMEA Stage 1,Eternal Fire,Favian,TR,DUELIST,B
VCT 2026: EMEA Stage 1,GIANTX,Flickless,BE,SENTINEL,B
VCT 2026: EMEA Stage 1,Team Heretics,Wo0t,TR,DUELIST,A
VCT 2026: EMEA Stage 1,FUT Esports,yetujey,TR,SENTINEL,C
VCT 2026: EMEA Stage 1,Gentle Mates,Minny,CZ,SENTINEL,C
VCT 2026: EMEA Stage 1,Fnatic,Veqaj,FR,INITIATOR,A
VCT 2026: EMEA Stage 1,Team Liquid,purp0,RU,INITIATOR,B
VCT 2026: EMEA Stage 1,GIANTX,ara,RO,DUELIST,B
VCT 2026: EMEA Stage 1,Team Heretics,Boo,LT,CONTROLLER,B
VCT 2026: EMEA Stage 1,Fnatic,crashies,US,INITIATOR,C
VCT 2026: EMEA Stage 1,Team Vitality,Jamppi,FI,INITIATOR,A
VCT 2026: EMEA Stage 1,Team Liquid,kamo,PL,DUELIST,A
VCT 2026: EMEA Stage 1,Team Heretics,benjyfishy,GB,SENTINEL,B
VCT 2026: EMEA Stage 1,Team Liquid,MiniBoo,LT,DUELIST,C
VCT 2026: EMEA Stage 1,Team Vitality,Chronicle,RU,SENTINEL,B
VCT 2026: EMEA Stage 1,Team Vitality,Derke,FI,DUELIST,A
VCT 2026: EMEA Stage 1,FUT Esports,s0pp,TR,DUELIST,A
VCT 2026: EMEA Stage 1,Eternal Fire,audaz,TR,CONTROLLER,B
VCT 2026: EMEA Stage 1,Eternal Fire,echo,TR,SENTINEL,B
VCT 2026: EMEA Stage 1,Team Vitality,PROFEK,PL,CONTROLLER,B
VCT 2026: EMEA Stage 1,Karmine Corp,dos9,KZ,CONTROLLER,C
VCT 2026: EMEA Stage 1,FUT Esports,sociablEE,TR,CONTROLLER,B
VCT 2026: EMEA Stage 1,Team Heretics,koshmaras,LT,DUELIST,A
VCT 2026: EMEA Stage 1,Fnatic,CyvOph,FR,FLEX,B
VCT 2026: EMEA Stage 1,Gentle Mates,GLYPH,PH,CONTROLLER,A
VCT 2026: EMEA Stage 1,NaVi,Filu,PL,DUELIST,C
VCT 2026: EMEA Stage 1,Eternal Fire,nekky,TR,INITIATOR,C
VCT 2026: EMEA Stage 1,Fnatic,Boaster,GB,CONTROLLER,C
VCT 2026: EMEA Stage 1,BBL Esports,Crewen,TR,SENTINEL,C
VCT 2026: EMEA Stage 1,Team Liquid,nAts,RU,SENTINEL,C
VCT 2026: EMEA Stage 1,PCIFIC Esports,NINJA,PL,INITIATOR,C
VCT 2026: EMEA Stage 1,Karmine Corp,LewN,TR,DUELIST,B
VCT 2026: EMEA Stage 1,Eternal Fire,Izzy,TR,DUELIST,C
VCT 2026: EMEA Stage 1,GIANTX,westside,PL,DUELIST,B
VCT 2026: EMEA Stage 1,GIANTX,grubinho,PL,CONTROLLER,C
VCT 2026: EMEA Stage 1,Karmine Corp,SUYGETSU,UN,SENTINEL,C
VCT 2026: EMEA Stage 1,PCIFIC Esports,al0rante,DE,SENTINEL,C
VCT 2026: EMEA Stage 1,NaVi,chloric,US,INITIATOR,C
VCT 2026: EMEA Stage 1,FUT Esports,xeus,TR,DUELIST,B
VCT 2026: EMEA Stage 1,BBL Esports,Lar0k,TR,FLEX,C
VCT 2026: EMEA Stage 1,Team Liquid,wayne,SG,CONTROLLER,C
VCT 2026: EMEA Stage 1,BBL Esports,lovers rock,TR,DUELIST,D
VCT 2026: EMEA Stage 1,FUT Esports,KROSTALY,TR,INITIATOR,C
VCT 2026: EMEA Stage 1,NaVi,ComeBack,TR,SENTINEL,C
VCT 2026: EMEA Stage 1,PCIFIC Esports,seven,MX,DUELIST,C
VCT 2026: EMEA Stage 1,Karmine Corp,N4RRATE,US,INITIATOR,B
VCT 2026: EMEA Stage 1,BBL Esports,Loita,TR,CONTROLLER,C
VCT 2026: EMEA Stage 1,GIANTX,Cloud,RU,INITIATOR,B
VCT 2026: EMEA Stage 1,Gentle Mates,starxo,PL,INITIATOR,C
VCT 2026: EMEA Stage 1,PCIFIC Esports,qpert,RS,CONTROLLER,C
VCT 2026: EMEA Stage 1,PCIFIC Esports,cNed,TR,DUELIST,D
VCT 2026: EMEA Stage 1,BBL Esports,Rosé,TR,INITIATOR,D
VCT 2026: EMEA Stage 1,Fnatic,Desmo,DK,FLEX,C
VCT 2026: EMEA Stage 1,Karmine Corp,Avez,EG,INITIATOR,D
VCT 2026: EMEA Stage 1,Gentle Mates,bipo,IT,DUELIST,D
VCT 2026: EMEA Stage 1,NaVi,Kolosha,UA,DUELIST,D
VCT 2026: China Stage 1,Dragon Ranger Gaming,vo0kashu,RU,CONTROLLER,A
VCT 2026: China Stage 1,TYLOO,slowly,CN,CONTROLLER,A
VCT 2026: China Stage 1,EDward Gaming,Smoggy,CN,CONTROLLER,A
VCT 2026: China Stage 1,EDward Gaming,CHICHOO,CN,SENTINEL,A
VCT 2026: China Stage 1,Bilibili Gaming,nephh,SG,CONTROLLER,A
VCT 2026: China Stage 1,All Gamers,f4ngeer,RU,DUELIST,B
VCT 2026: China Stage 1,EDward Gaming,ZmjjKK,CN,DUELIST,A
VCT 2026: China Stage 1,FunPlus Phoenix,AAAAY,CN,CONTROLLER,A
VCT 2026: China Stage 1,Xi Lai Gaming,happywei,TW,SENTINEL,A
VCT 2026: China Stage 1,Wolves Esports,Spring,TW,CONTROLLER,B
VCT 2026: China Stage 1,Trace Esports,deLb,ID,CONTROLLER,B
VCT 2026: China Stage 1,Titan Esports Club,lucas,CN,INITIATOR,C
VCT 2026: China Stage 1,JD Gaming,zhe,CN,SENTINEL,A
VCT 2026: China Stage 1,Xi Lai Gaming,Lysoar,CN,CONTROLLER,A
VCT 2026: China Stage 1,TYLOO,Erv,CN,DUELIST,A
VCT 2026: China Stage 1,All Gamers,Shr1mp,CN,INITIATOR,C
VCT 2026: China Stage 1,Xi Lai Gaming,WsLeo,TW,INITIATOR,A
VCT 2026: China Stage 1,Titan Esports Club,Coco,CN,CONTROLLER,B
VCT 2026: China Stage 1,Bilibili Gaming,Knight,CN,INITIATOR,C
VCT 2026: China Stage 1,Dragon Ranger Gaming,Nicc,TW,INITIATOR,B
VCT 2026: China Stage 1,Trace Esports,Kai,CN,DUELIST,B
VCT 2026: China Stage 1,TYLOO,splash,ID,DUELIST,A
VCT 2026: China Stage 1,Dragon Ranger Gaming,SpiritZ1,TW,DUELIST,B
VCT 2026: China Stage 1,Bilibili Gaming,whzy,CN,DUELIST,B
VCT 2026: China Stage 1,Wolves Esports,yosemite,CN,SENTINEL,C
VCT 2026: China Stage 1,JD Gaming,coconut,HK,INITIATOR,C
VCT 2026: China Stage 1,JD Gaming,stew,KR,DUELIST,B
VCT 2026: China Stage 1,Dragon Ranger Gaming,Flex1n,CN,CONTROLLER,B
VCT 2026: China Stage 1,All Gamers,iamgrq,CN,CONTROLLER,B
VCT 2026: China Stage 1,Titan Esports Club,Dynamite,CN,DUELIST,B
VCT 2026: China Stage 1,Trace Esports,Xlele,CN,DUELIST,B
VCT 2026: China Stage 1,Bilibili Gaming,yilai,CN,DUELIST,B
VCT 2026: China Stage 1,All Gamers,K1ra,CN,SENTINEL,C
VCT 2026: China Stage 1,TYLOO,Scales,CN,SENTINEL,B
VCT 2026: China Stage 1,Bilibili Gaming,rushia,CN,SENTINEL,B
VCT 2026: China Stage 1,Nova Esports,qiutiaN,TW,INITIATOR,C
VCT 2026: China Stage 1,Nova Esports,Ezeir,CN,CONTROLLER,C
VCT 2026: China Stage 1,Xi Lai Gaming,Rarga,RU,DUELIST,B
VCT 2026: China Stage 1,Trace Esports,Abo,CN,SENTINEL,C
VCT 2026: China Stage 1,EDward Gaming,nobody,CN,INITIATOR,C
VCT 2026: China Stage 1,EDward Gaming,Jieni7,CN,FLEX,B
VCT 2026: China Stage 1,Titan Esports Club,Spitfires,CN,DUELIST,C
VCT 2026: China Stage 1,FunPlus Phoenix,KovaQ,CH,INITIATOR,C
VCT 2026: China Stage 1,FunPlus Phoenix,Setrod,TW,DUELIST,C
VCT 2026: China Stage 1,JD Gaming,jkuro,CN,CONTROLLER,C
VCT 2026: China Stage 1,Xi Lai Gaming,NoMan,HK,DUELIST,C
VCT 2026: China Stage 1,Nova Esports,swagzor,RU,DUELIST,C
VCT 2026: China Stage 1,JD Gaming,Yuicaw,TW,SENTINEL,C
VCT 2026: China Stage 1,Wolves Esports,jowa,CN,CONTROLLER,C
VCT 2026: China Stage 1,Dragon Ranger Gaming,Life,CN,DUELIST,C
VCT 2026: China Stage 1,Wolves Esports,glacier,TW,DUELIST,C
VCT 2026: China Stage 1,Titan Esports Club,Haodong,CN,CONTROLLER,C
VCT 2026: China Stage 1,Wolves Esports,SiuFatBB,HK,INITIATOR,D
VCT 2026: China Stage 1,Nova Esports,GuanG,CN,DUELIST,D
VCT 2026: China Stage 1,FunPlus Phoenix,Ben1Ley,CN,DUELIST,D
VCT 2026: China Stage 1,TYLOO,sword9,CN,INITIATOR,D
VCT 2026: China Stage 1,Trace Esports,Viva,CN,INITIATOR,C
VCT 2026: China Stage 1,All Gamers,Bai,CN,DUELIST,C
VCT 2026: China Stage 1,Nova Esports,GREEN,TW,INITIATOR,D
VCT 2026: China Stage 1,FunPlus Phoenix,BerLIN,TW,CONTROLLER,C
VCT 2026: China Stage 1,All Gamers,Youze,TW,DUELIST,D
VCT 2026: China Stage 1,All Gamers,Septem7,CN,CONTROLLER,C
